UID,Input Type,Entry Content,Tags,Linked Domain(s),Source,Parsed?,GPT Summary UID,Daily Summary,Weekly Digest,Created Time,Date,Test?
TL-recUcfRBCQjrq9pA7,Voice,"I keep revisiting the interface design and second-guessing the flow, even though the structure is already solid. I know it’s fear of not having it perfect. Meanwhile, Cole seemed disconnected again today, and I wasn’t sure how to respond without overstepping.","loop,perfectionism,fatherhood,control",,Voice,checked,,,,5/9/2025 11:56pm,,checked
TL-reczjBariHSMBVfo7,Form,I’m struggling to figure out whether the system is ready to go live or if I’m just stalling. Lennox asked if I was working again while we were hanging out. I think I’m drifting into old habits again.,"resistance,system readiness,fatherhood,balance",,Form,checked,recFToAAfMWPPwJ0U,,,5/10/2025 10:48am,,checked
TL-recuBFldtp0NiusPE,Manual,Had a clear thought while driving: the reflection engine doesn’t need to be perfect. It needs to be used. I keep confusing technical polish with emotional clarity.,"clarity,execution loop,perfection,action",,Manual,checked,,,,5/9/2025 11:57pm,,checked
TL-recOPjPxLYFOWwLR0,Voice,"I felt confident today about the system finally syncing cleanly, but a part of me kept wondering if something would break when I hand it off. That lingering doubt showed up again.","confidence,handoff,doubt,loop",,Voice,checked,recOZTstEfULlsog1,,,5/10/2025 12:17am,,checked
TL-recXu4nllXsU8XJyQ,Text,"Even though the core of this is solid, I’m struggling to let go of the builder identity. I don’t know if it’s fear of boredom or fear of being seen. Either way, it’s there.","identity,fear,builder,loop",,Text,checked,reczfm1aKixq1uoKv,,,5/10/2025 12:18am,,checked
TL-recQkCwyAZ2TZyGV5,Manual,"Cole asked me if I was paying attention. I wasn’t. I was in the system again, adjusting something tiny. He didn’t say it with anger—just disappointment. I logged out immediately.","fatherhood,presence,adjusting,awareness",,Manual,checked,recisYfRHaLums4pp,,,5/10/2025 12:18am,,checked
TL-recEVSTyZx7UgctiA,Voice,Called Fratto back need to figure out what the next steps are with potential league that's more development than games with games are important to figuring out the structure figuring out how many kids need more assist and coaches need more officials need officials in general just need to figure it out ,,,Siri,,rectBpWCoksTmKJI4,,,5/11/2025 2:01pm,,
TL-recsMV8At9a2bdhkM,Voice,Called Fratto back need to figure out what the next steps are with potential league that's more development than games with games are important to figuring out the structure figuring out how many kids need more assist and coaches need more officials need officials in general just need to figure it out ,,,Siri,checked,receUxrwcZ0WmdYes,DS-receUxrwcZ0WmdYes,,5/20/2025 2:41pm,,
TL-recnP1qhU1j3SQl3k,Voice,Do I explore partnering with multi sports kingdom for their basketball development program that I spoke to the Basketball about today or do I keep it closed use them as a test pilot or no I really don't know I don't enjoy anything about the experience that I had over the weekend playing in their event ,,,Siri,,recZepNlySZYwjnIz,,,5/11/2025 8:59pm,,
TL-recidUU6qbhtaJ3Lu,Voice,Do I explore partnering with multi sports kingdom for their basketball development program that I spoke to the Basketball about today or do I keep it closed use them as a test pilot or no I really don't know I don't enjoy anything about the experience that I had over the weekend playing in their event ,,,Siri,checked,recGdHLcP98PkgPYM,DS-recGdHLcP98PkgPYM,,5/20/2025 2:41pm,,
